2016-03-18 15:47:06,071 INFO      [service_mgr.py:57(run)] start child process with command
2016-03-18 15:49:48,755 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:49:49,757 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:49:50,759 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:49:51,761 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:49:52,763 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:49:53,765 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:49:54,768 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:49:55,769 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:49:56,772 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:49:57,775 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:49:57,775 INFO      [service.py:96(run_forever)] restart child process again, times=13
2016-03-18 15:49:58,795 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:49:59,799 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:50:00,801 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:50:01,803 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:50:02,805 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:50:03,807 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:50:04,809 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:50:05,811 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:50:06,813 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:50:07,814 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:50:08,819 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:50:08,819 INFO      [service.py:96(run_forever)] restart child process again, times=14
2016-03-18 15:50:09,831 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:50:10,833 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:50:11,835 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:50:12,837 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:50:13,840 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:50:14,842 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:50:15,843 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:50:16,846 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:50:17,848 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:50:18,849 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:50:19,854 INFO      [service.py:106(run_forever)] 0
2016-03-18 15:50:19,861 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:50:19,861 INFO      [service.py:96(run_forever)] restart child process again, times=15
2016-03-18 15:50:20,873 INFO      [service.py:106(run_forever)] 10
2016-03-18 15:50:21,875 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:50:22,877 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:50:23,879 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:50:24,881 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:50:25,883 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:50:26,885 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:50:27,886 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:50:28,888 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:50:29,890 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:50:30,894 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:50:30,894 INFO      [service.py:96(run_forever)] restart child process again, times=16
2016-03-18 15:50:31,907 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:50:32,908 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:50:33,910 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:50:34,912 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:50:35,914 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:50:36,917 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:50:37,919 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:50:38,921 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:50:39,923 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:50:40,924 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:50:41,927 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:50:41,927 INFO      [service.py:96(run_forever)] restart child process again, times=17
2016-03-18 15:50:42,942 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:50:43,945 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:50:44,947 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:50:45,948 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:50:46,950 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:50:47,952 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:50:48,954 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:50:49,956 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:50:50,958 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:50:51,960 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:50:52,965 INFO      [service.py:106(run_forever)] 0
2016-03-18 15:50:52,971 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:50:52,971 INFO      [service.py:96(run_forever)] restart child process again, times=18
2016-03-18 15:50:53,990 INFO      [service.py:106(run_forever)] 10
2016-03-18 15:50:54,991 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:50:55,993 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:50:56,994 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:50:57,996 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:50:58,999 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:51:00,001 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:51:01,003 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:51:02,005 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:51:03,007 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:51:04,011 INFO      [service.py:106(run_forever)] 0
2016-03-18 15:51:04,022 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:51:04,023 INFO      [service.py:96(run_forever)] restart child process again, times=19
2016-03-18 15:51:05,039 INFO      [service.py:106(run_forever)] 10
2016-03-18 15:51:06,041 INFO      [service.py:106(run_forever)] 9
